location_name,name,restaurant_id,restaurant_address,description,detailed_description,image,lat,lng,rating,reviews,restaurant_type
London,The New Inn,1fbfb3b1-704f-491f-bfcf-ac1170afafb7,London    United Kingdom,,,,51.58225001,0.211982304,,,5 star
London,Bread And Breakfast Cafe,599342a8-42a2-42fb-ac74-b9f593f9f9d4,Londone  United Kingdom,,,,51.59995355,0.221922333,,,6 star
London,A127 McDonalds,377869b3-e39b-413b-8ee2-24a333274d98,London    United Kingdom,,,,51.58929349,0.219931834,,,7 star
London,Ojs,6fbf71a9-ceda-4f95-aed6-ac3b27b1cead,London    United Kingdom,,,,51.56291182,0.216628495,,,8 star
London,The Fatling,99f4c68d-ed14-42a0-b4cb-2309104301e3,109 High Street  Hornchurch  United Kingdom,,,,51.562755,0.218595,,,9 star
London,"Alec's Restaurant, Navestock",7cbfc242-878a-4a32-b2de-317662231231,London    United Kingdom,,,,51.58241425,0.228002515,,,10 star
London,Yates Bar Romford,306d0c62-8388-496c-9f0a-44aa5fab1efd,London    United Kingdom,,,,51.57888023,0.236869732,,,11 star
London,Sorrento Ristorante Italiano,b5265f91-27df-4b4b-bd27-8c5d64566241,13 Station Road  Upminster  RM14 2SJ  United Kingdom,,,,51.5568113,0.24945514,,,12 star
London,Thames Chase Cafe,6e9c3f7d-f7b1-4efb-9fd7-6c9420b1de7d,Thames Chase  The Forest Centre   Upminster  RM14 3NS  United Kingdom,,,,51.55,0.25,,,13 star
London,"Bayleaf, Whetstone",1b9f8a0c-3e8e-413b-a2a8-5c04b08155da,1342 High Road  London  N20 9HJ  United Kingdom,,,,51.63051236,-0.175011351,,,14 star
London,Zefi,0157cabf-1114-43d6-94be-1c3af9d3b4ee,Walton Street London    London  SW3 2HP  UK   United Kingdom,,,,51.4940651,-0.167793658,,,15 star
London,Mantoos Afghan Restaurant,810a8e39-1a9e-4a83-91de-db382cc67b54,59 Battersea Bridge Road  London  SW11 3AU  United Kingdom,,,,51.47823767,-0.169832825,,,16 star
London,Casuarina Tree Restaurant & Bar,00d43df5-be33-49b2-a7f1-8f9787b147f6,407  London Road  Mitcham  CR4 4BG  United Kingdom,,,,51.39811761,-0.172418316,,,17 star
London,Honeydale Farm Shop & Tea Room,47e6c839-c410-4b99-9aac-d02efbeca63d,217 Maidstone Road  Sidcup  DA145AW  United Kingdom,,,,51.41311878,0.137002004,,,18 star
London,"Red Barn Pub, Erith Road, Barnehurst",762322bd-94d1-4e61-8d52-2369642c8cbf,London    United Kingdom,,,,51.46569008,0.161436585,,,19 star
London,West Street Cafe,1242ab17-ecd2-4e96-97e3-1df831245c33,London    United Kingdom,,,,51.4852008,0.173134263,,,20 star
London,The Bell Inn,89fd4087-2f4a-44d4-a358-43aedaee5f37,London    United Kingdom,,,,51.5190814,0.189673818,,,21 star
London,Running Horses,9eaa44db-0ae8-49e4-b6c9-cb8a6b61b490,,,,,51.48195481,0.179704873,,,22 star
London,Potion Bar,aa073ef0-05b3-42ad-ae86-833a05dbb4f7,London    United Kingdom,,,,51.48088946,0.180942512,,,23 star
London,The Essex Cafe,961b9c0a-52da-40d7-b56d-52be2e1d66a3,London    United Kingdom,,,,51.54060888,0.192693882,,,24 star
London,The Flaming Grill,bbbcea42-7b62-45d3-bdcb-107211cf2252,,,,,51.5229526,0.191682729,,,25 star
London,Elm Park Cafe,14e3a35e-d7c4-4262-8e0a-97050b030930,London    United Kingdom,,,,51.5502308,0.19918819,,,26 star
London,Adams Fish Bar,19a6a895-5d13-429a-861c-9891afeabe3a,31 Kingston Road  London  SW19 1JX  United Kingdom,,,,51.41557387,-0.194099914,,,27 star
London,"Dancing Elephant, Wimbledon",35973252-5645-40c9-b8c5-acf6569a1281,Unit 23  55-59 Weir Road  London  SW19 8UG  United Kingdom,,,,51.39013942,-0.194040291,,,28 star
London,The Diner,772e22a7-1ce4-47ca-9fba-e1b3495be74e,London    United Kingdom,,,,51.38375446,-0.190202108,,,29 star
London,The Red Lion Toby Carvery,1fe49b87-3a7b-4b18-903d-3e4221bea2e2,,,,,51.65250194,-0.198831074,,,30 star
London,DURUM OCAKBASI RESTORANT,e0e0b14b-7755-4600-ad3b-e98024eb0769,119 BALLARDS LANE    FINCHLEY  London  N3 1LJ  United Kingdom,,,,51.60461828,-0.188905202,,,31 star
London,HonkyTonk Bar & Restaurant,b877fa86-ef00-4c02-b59d-67a039e6f4c5,16a Clapham Common  London  SW4 7AB  United Kingdom,,,,51.48603152,-0.184280231,,,32 star
London,il trillo Ristorante & Giardino,c341e2d0-eb90-4306-bbe8-2b62aa36b9bd,4 Hollywood Rd  Chelsea  London  SW10 9HY  United Kingdom,,,,51.48601534,-0.184255166,,,33 star
London,Prezzo Wandsworth,ec0ee1d3-bd41-4201-ac75-28e9cd850c38,Southside Shopping Centre  London    United Kingdom,,,,51.47133396,-0.184114783,,,34 star
London,McDonalds - Wandsworth Bridge,196d35ab-c8be-4c1c-b976-957169427fd4,London    United Kingdom,,,,51.46220892,-0.186771342,,,35 star
London,Red Lion Pub and Toby Carvery,15270cbe-dd7d-4c07-b1a2-b7ee5179239a,London    United Kingdom,,,,51.64167018,-0.182511447,,,36 star
London,ASK,9010df28-35d9-453d-915c-cfb53369a31c,1257 High Road  London  N20 0EW  United Kingdom,,,,51.63018583,-0.175194099,,,37 star
London,Chix-Chox Restaurant & Cafe,bced6f0a-8f88-4da1-a63e-4e53fe74daa1,793 High Road  London  N12 8JT  United Kingdom,,,,51.61578431,-0.176751582,,,38 star
London,Tinseltown 24 Hour Diner,b7d6f3e7-7779-492d-a676-9f8944adec51,104 Heath Street  London  NW3 1DR  United Kingdom,,,,51.55878988,-0.178483315,,,39 star
London,Moet & Chandon Champagne Bar @ The Royal Albert Hall,9aca7a9a-b390-43bb-ae44-fa4b12d87958,London    United Kingdom,,,,51.50115803,-0.17691746,,,40 star
London,"The Oxo Tower, Southbank",5912891f-dc7d-4b01-8642-4e61423b8d7c,London    United Kingdom,,,,51.43601212,-0.178482128,,,41 star
London,The Provenance,645d5be8-b29d-4aa7-85e2-d7d2291d0d7a,62 High Street  Colliers Wood  London  SW192BY  United Kingdom,,,,51.42061715,-0.175757158,,,42 star
London,H's Cafe,219294fe-5d44-4cc4-b56a-1474619fd4e6,London    United Kingdom,,,,51.37454209,-0.176873859,,,43 star
London,Brunchies Cafe,aa654d60-756c-42b7-b42e-c471f483af5f,112 westmead road  Sutton  Sm1 4jd  United Kingdom,,,,51.36624562,-0.179428714,,,
London,Flamin Grill Pub Co @ The Five Bells,a445f269-07b6-43e2-9660-7f6d02312298,,,,,51.59072061,-0.172356828,,,
